bloc,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
center,1.686,1.163,1.863,1.081,1.733,1.172,1.226
left,1.445,1.349,1.925,1.063,1.953,1.29,1.303
right,1.855,1.086,1.56,1.079,1.421,1.082,1.698
