party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
CDA,1.906,1.176,1.638,1.158,1.424,1.259,1.477
D66,1.815,1.344,1.721,1.15,1.762,1.521,1.259
FvD,2.187,1.055,1.477,1.174,1.243,1.174,2.983
GroenLinks,1.757,1.496,1.925,1.136,1.781,1.775,1.645
PVV,1.935,1.109,1.545,1.074,1.268,1.192,2.841
PvdA,1.915,1.431,1.631,1.101,1.551,1.517,1.533
PvdD,1.49,1.784,2.021,1.067,2.256,2.122,1.911
VVD,2.021,1.152,1.764,1.182,1.507,1.37,1.345
