bloc,n_pre,n_post,emerged,faded
Left,3629,2917,"biomassa, stikstof, biodiversiteitscrisis, natuur, projecten, bossen, stikstofuitstoot, staat, probleem, houtige, beschermen, omgevingswet","duurzame, fossiele, energie, mensen, aandeel, moeten, draagvlak, opslag, kosten, parijs, gaan, burgers"
Center,2702,2338,"biomassa, landbouw, land, stikstof, natuur, staat, realiseren, afgesproken, klimaatakkoord, kijken, infrastructuur, juist","duurzame, hernieuwbare, opslag, parijs, debat, kosten, onze, gevolgen, bijvoorbeeld, gebied, betreft, huishoudens"
Right,2522,2227,"biomassa, nederlandse, deal, green, biodiversiteit, zeggen, investeringen, boeren, laatste, klimaat, rechter, kernenergie","duurzame, opslag, betalen, huishoudens, kosten, totale, fossiele, extra, rekening, belang, zullen, aandeel"
