party,crisis_urgency,economic,health_environment,moral,scientific,security,weaponization
BBB,1,32,10,6,1,1,4
CDA,4,106,24,9,0,6,0
D66,16,297,91,27,17,21,0
FvD,0,19,2,0,1,0,13
GroenLinks,10,52,21,23,1,1,1
GroenLinks-PvdA,2,59,20,20,9,5,0
PVV,0,19,0,0,0,0,34
PvdA,5,93,28,18,4,4,0
PvdD,38,133,138,76,31,5,10
VVD,2,106,25,1,2,8,3
