party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
BBB,-0.13,0.127,-0.643,0.116,-0.015,0.017,-0.359
CDA,-0.046,0.079,-0.637,0.087,-0.123,0.059,-0.24
D66,0.239,0.096,-0.579,0.08,-0.045,0.195,-0.154
GroenLinks,0.341,0.333,-0.603,-0.029,0.107,0.324,-0.181
GroenLinks-PvdA,-0.005,0.243,-0.683,0.049,0.06,0.007,-0.248
PVV,0.447,-0.009,-0.221,0.12,-0.238,-0.022,1.932
PvdA,0.197,0.225,-0.508,0.118,-0.047,0.32,-0.182
PvdD,0.171,0.287,-0.569,0.039,0.148,0.442,-0.195
VVD,0.245,0.147,-0.385,0.245,0.334,0.124,-0.312
