event,year,bloc,frame,pre_mean,post_mean,diff,r,effect,p_value,sig
IPCC AR6,2021,Right,crisis_urgency,1.027,1.14,0.113,0.099,negligible,0.0,***
IPCC AR6,2021,Right,weaponization,2.027,1.722,-0.304,-0.148,small,0.0,***
Russia-Ukraine,2022,Left,economic,1.457,1.623,0.166,0.109,small,0.0,***
Russia-Ukraine,2022,Left,moral,1.357,1.494,0.137,0.114,small,0.0,***
Russia-Ukraine,2022,Left,scientific,1.999,2.168,0.169,0.109,small,0.0,***
Russia-Ukraine,2022,Left,security,1.05,1.125,0.075,0.042,negligible,0.0,***
Russia-Ukraine,2022,Left,health_environment,2.109,1.997,-0.112,-0.082,negligible,0.0001,***
Russia-Ukraine,2022,Left,crisis_urgency,1.274,1.469,0.195,0.147,small,0.0,***
Russia-Ukraine,2022,Left,weaponization,1.302,1.451,0.149,0.114,small,0.0,***
Russia-Ukraine,2022,Center,economic,1.773,1.835,0.062,0.036,negligible,0.1862,
Russia-Ukraine,2022,Center,moral,1.156,1.277,0.121,0.111,small,0.0,***
Russia-Ukraine,2022,Center,scientific,1.945,2.127,0.182,0.129,small,0.0,***
Russia-Ukraine,2022,Center,security,1.07,1.161,0.091,0.044,negligible,0.0001,***
Russia-Ukraine,2022,Center,health_environment,1.819,1.912,0.093,0.062,negligible,0.0218,*
Russia-Ukraine,2022,Center,crisis_urgency,1.164,1.292,0.128,0.109,small,0.0,***
Russia-Ukraine,2022,Center,weaponization,1.229,1.35,0.121,0.097,negligible,0.0,***
Russia-Ukraine,2022,Right,economic,2.093,1.958,-0.134,-0.059,negligible,0.0859,
Russia-Ukraine,2022,Right,moral,1.08,1.123,0.043,0.034,negligible,0.0645,
Russia-Ukraine,2022,Right,scientific,1.531,1.797,0.266,0.185,small,0.0,***
Russia-Ukraine,2022,Right,security,1.07,1.117,0.047,0.025,negligible,0.0751,
Russia-Ukraine,2022,Right,health_environment,1.451,1.553,0.102,0.082,negligible,0.0097,**
Russia-Ukraine,2022,Right,crisis_urgency,1.049,1.142,0.093,0.089,negligible,0.0,***
Russia-Ukraine,2022,Right,weaponization,2.002,1.682,-0.32,-0.16,small,0.0,***
