bloc,year,frame,count,n_docs,freq
Right,2023,Activity_stop,12,133,0.09022556390977443
Right,2023,Expensiveness,16,133,0.12030075187969924
Right,2023,Intentionally_act,41,133,0.3082706766917293
Right,2023,Origin,26,133,0.19548872180451127
Right,2023,Protecting,8,133,0.06015037593984962
Right,2023,Required_event,28,133,0.21052631578947367
Right,2024,Activity_stop,11,111,0.0990990990990991
Right,2024,Expensiveness,12,111,0.10810810810810811
Right,2024,Intentionally_act,40,111,0.36036036036036034
Right,2024,Origin,23,111,0.2072072072072072
Right,2024,Protecting,13,111,0.11711711711711711
Right,2024,Required_event,30,111,0.2702702702702703
Right,2025,Activity_stop,2,100,0.02
Right,2025,Expensiveness,20,100,0.2
Right,2025,Intentionally_act,29,100,0.29
Right,2025,Origin,15,100,0.15
Right,2025,Protecting,14,100,0.14
Right,2025,Required_event,18,100,0.18
