target,party,n_windows,distinctive_words
industrie,FvD,13,"lange, bijvoorbeeld, megawindturbines, regeldruk, energiebelastingen"
industrie,BBB,42,"gezondheid, gevolg, omwonenden, heffing, oftewel"
industrie,VVD,201,"intensieve, energie, nederlandse, goed, maken"
industrie,CDA,172,"groene, verduurzaming, infrastructuur, zowel, reduceren"
industrie,D66,204,"aanpak, heffing, halen, groene, moeten"
industrie,GroenLinks,174,"afbouwen, gemaakt, normeren, ligt, auto"
industrie,PvdA,64,"fossiele, ontzien, banen, sprong, vanwege"
industrie,PvdD,258,"fossiele, dieren, agro, subsidies, veehouderij"
landbouw,PVV,33,"koste, hittestress, plan, grondstof, ontlasting"
landbouw,FvD,11,"huizen, miljoen, meest, zoals, kostbare"
landbouw,BBB,129,"opgenomen, visserijraad, spreken, landen, waarin"
landbouw,VVD,155,"ministerie, stikstof, wereld, eerst, belangrijk"
landbouw,CDA,286,"gebied, kleinschalige, belang, gewasbeschermingsmiddelen, toekomst"
landbouw,D66,277,"duurzame, laten, biologische, onze, klimaatverandering"
landbouw,GroenLinks,305,"verduurzaming, binnen, gebruik, glyfosaat, megaton"
landbouw,PvdA,87,"gangbare, natuurinclusieve, voedselakkoord, natuur, crisis"
landbouw,PvdD,605,"europese, bestrijdingsmiddelen, dieren, veehouderij, gebruikt"
stikstof,PVV,143,"boeren, klimaat, miljarden, substantieel, daalt"
stikstof,FvD,123,"waarom, audet, betrekken, spreekt, bepaalde"
stikstof,BBB,209,"heilig, schiphol, verklaren, behalen, huidige"
stikstof,VVD,218,"minder, bijvoorbeeld, uitstoot, vraagstukken, herstellen"
stikstof,CDA,290,"vergunningverlening, beschikbare, industrie, systeem, afroming"
stikstof,D66,268,"elkaar, natuur, gaat, kijken, fijnstof"
stikstof,GroenLinks,342,"woningbouw, maatschappelijke, vast, kopen, minimaal"
stikstof,PvdA,73,"zorgen, reductie, ervoor, hoger, onderliggende"
stikstof,PvdD,345,"klimaatcrisis, veehouderij, broeikasgassen, biodiversiteitscrisis, zouden"
duurzaam,PVV,127,"klimaat, gaat, energietransitie, stoppen, waar"
duurzaam,FvD,49,"kosten, stoppen, binnen, zorgt, groeifonds"
duurzaam,BBB,19,"voedsel, gebruik, pleinen, blijven, verzekerd"
duurzaam,VVD,278,"vraag, eigen, nieuwe, zegt, vervolgens"
duurzaam,CDA,261,"innovatie, alternatief, aandacht, uitdagingen, economische"
duurzaam,D66,472,"natuurlijk, vervoer, grondstoffen, welvaart, blokje"
duurzaam,GroenLinks,248,"inkopen, sturen, vanaf, nemen, aanvulling"
duurzaam,PvdA,155,"daarmee, budget, lastenverlichting, biobrandstoffen, geavanceerde"
duurzaam,PvdD,369,"voedsel, komen, plan, gezond, begrip"
