party,voice_prop_passive,voice_prop_active,neg_prop_negated,mod_prop_obligation,mod_prop_possibility,mod_prop_hedging,mod_prop_negation_mod,mod_prop_any_modal
CDA,0.172,0.828,0.164,0.085,0.104,0.036,0.0,0.225
D66,0.162,0.838,0.157,0.085,0.102,0.023,0.0,0.21
FvD,0.191,0.809,0.21,0.084,0.081,0.046,0.0,0.211
GroenLinks,0.176,0.824,0.191,0.089,0.09,0.039,0.0,0.217
PVV,0.188,0.812,0.206,0.077,0.08,0.03,0.001,0.187
PvdA,0.186,0.814,0.181,0.098,0.094,0.028,0.0,0.22
PvdD,0.178,0.822,0.214,0.095,0.093,0.036,0.001,0.225
VVD,0.171,0.829,0.189,0.099,0.11,0.027,0.0,0.236
