,GroenLinks,PvdA,D66,CDA,VVD,PVV,FvD,BBB,PvdD
GroenLinks,1.0000000000000147,0.5795354004818921,0.661432937131409,0.6159855525179863,0.5946586728345008,0.4813211217059723,0.40322666632156845,0.4358657028777941,0.6371474577124524
PvdA,0.5795354004818921,0.999999999999987,0.585568995800274,0.5602068909034252,0.5619180902230658,0.479130239504996,0.41847234763695756,0.4122393163981054,0.5190672366941841
D66,0.661432937131409,0.585568995800274,1.0000000000000209,0.649596216290353,0.6460681387451442,0.48038974981850663,0.3977576974754108,0.4278462063129178,0.611502397427614
CDA,0.6159855525179863,0.5602068909034252,0.649596216290353,1.0000000000000044,0.6098865009546452,0.4693249038505911,0.40302055654247865,0.489287564524338,0.5420595115815877
VVD,0.5946586728345008,0.5619180902230658,0.6460681387451442,0.6098865009546452,0.9999999999999898,0.4956011902996543,0.4308982633360054,0.4204016766826956,0.5409231882200516
PVV,0.4813211217059723,0.479130239504996,0.48038974981850663,0.4693249038505911,0.4956011902996543,1.0000000000000047,0.5068168862592727,0.37687317839694995,0.45977085974789184
FvD,0.40322666632156845,0.41847234763695756,0.3977576974754108,0.40302055654247865,0.4308982633360054,0.5068168862592727,0.9999999999999635,0.362176795611059,0.3885190264172846
BBB,0.4358657028777941,0.4122393163981054,0.4278462063129178,0.489287564524338,0.4204016766826956,0.37687317839694995,0.362176795611059,1.0000000000000075,0.40931264432801895
PvdD,0.6371474577124524,0.5190672366941841,0.611502397427614,0.5420595115815877,0.5409231882200516,0.45977085974789184,0.3885190264172846,0.40931264432801895,1.0000000000000517
