party,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
CDA,0.773,0.691,1.328,0.47,1.155,1.383,1.198
D66,0.736,0.79,1.395,0.466,1.429,1.671,1.021
FvD,0.887,0.62,1.197,0.476,1.008,1.29,2.419
GroenLinks,0.712,0.88,1.561,0.461,1.444,1.95,1.334
PVV,0.785,0.652,1.253,0.436,1.028,1.31,2.304
PvdA,0.777,0.841,1.322,0.446,1.258,1.667,1.243
PvdD,0.604,1.049,1.639,0.433,1.83,2.331,1.55
VVD,0.819,0.677,1.431,0.479,1.222,1.505,1.091
